Date,Close,High,Low,Open,Volume
10/9/2025,253.7939606,257.7501321,252.8948383,257.5603137,38322000
10/10/2025,245.0324707,256.1317118,243.7636964,254.6931039,61999100
10/13/2025,247.4201508,249.4481835,245.3221785,249.1384862,38142900
10/14/2025,247.5300446,248.6090004,244.4630105,246.3611795,35478000
10/15/2025,249.098526,251.5761353,247.2303419,249.2483899,33893600
10/16/2025,247.2103577,248.7988142,244.8926124,248.009586,39777000
10/17/2025,252.0456543,253.1346102,247.0305271,247.7798007,49147000
10/20/2025,261.9860229,264.1239651,255.3824391,255.6421818,90483000
10/21/2025,262.5155029,265.0330819,261.5764109,261.6263807,46695900
10/22/2025,258.199707,262.5954396,255.1826123,262.3956211,45015300
10/23/2025,259.3285828,260.3675841,257.7601265,259.68825,32754900
10/24/2025,262.5654907,263.8742197,258.9290011,260.9370643,38253700
10/27/2025,268.5496521,268.8593494,264.3936774,264.6234657,44888200
10/28/2025,268.7394714,269.6286241,267.8902886,268.7294714,41534800
10/29/2025,269.4388123,271.1471476,266.8512938,269.0192056,51086700
10/30/2025,271.137146,273.8745131,268.2199911,271.7265709,69886500
10/31/2025,270.1081543,277.0514357,268.8993347,276.7217383,86167100
11/3/2025,268.7894287,270.5877038,265.9921525,270.1581276,50194600
11/4/2025,269.7784729,271.2270503,267.3608033,268.0701071,49274800
11/5/2025,269.8783875,271.4368742,266.6714743,268.34984,43683100
11/6/2025,269.508728,273.1352174,267.6305743,267.6305743,51204000
11/7/2025,268.2099915,272.0262992,266.5116257,269.53869,48227400
11/10/2025,269.4299927,273.730011,267.4599915,268.9599915,41312400
11/11/2025,275.25,275.9100037,269.7999878,269.8099976,46208300
11/12/2025,273.4700012,275.730011,271.7000122,275,48398000
11/13/2025,272.9500122,276.7000122,272.0899963,274.1099854,49602800
11/14/2025,272.4100037,275.9599915,269.6000061,271.0499878,47431300
11/17/2025,267.4599915,270.4899902,265.730011,268.8200073,45018300
11/18/2025,267.4400024,270.7099915,265.3200073,269.9899902,45677300
11/19/2025,268.5599976,272.2099915,265.5,265.5299988,40424500
11/20/2025,266.25,275.4299927,265.9200134,270.8299866,45823600
11/21/2025,271.4899902,273.3299866,265.6700134,265.9500122,59030800
11/24/2025,275.9200134,277,270.8999939,270.8999939,65585800
11/25/2025,276.9700012,280.3800049,275.25,275.269989,46914200
11/26/2025,277.5499878,279.5299988,276.6300049,276.9599915,33431400
11/28/2025,278.8500061,279,275.9899902,277.2600098,20135600
12/1/2025,283.1000061,283.4200134,276.1400146,278.0100098,46587700
12/2/2025,286.1900024,287.3999939,282.6300049,283,53669500
12/3/2025,284.1499939,288.6199951,283.2999878,286.2000122,43538700
12/4/2025,280.7000122,284.730011,278.5899963,284.1000061,43989100
12/5/2025,278.7799988,281.1400146,278.0499878,280.5400085,47265800
12/8/2025,277.8900146,279.6700134,276.1499939,278.1300049,38211800
12/9/2025,277.1799927,280.0299988,276.9200134,278.1600037,32193300
12/10/2025,278.7799988,279.75,276.4400024,277.75,33038300
12/11/2025,278.0299988,279.5899963,273.8099976,279.1000061,33207600
